IP	Port
13.211.95.147	2375
15.185.134.185	1433
52.74.78.244	1433
106.52.115.145	8889
106.52.115.145	4040
106.52.115.145	5010
106.52.115.145	195
106.52.115.145	3407
106.52.115.145	2480
106.52.115.145	8099
106.52.115.145	88
106.52.115.145	5357
106.52.115.145	55443
106.52.115.145	8500
106.52.115.145	7071
199.247.11.85	3541
45.32.28.50	2375
42.194.226.30	1947
42.194.226.30	1962
42.194.226.30	444
42.194.226.30	9898
42.194.226.30	8046
42.194.226.30	2082
42.194.226.30	9000
42.194.226.30	389
42.194.226.30	1991
42.194.226.30	7547
42.194.226.30	8098
42.194.226.30	1660
42.194.226.30	6000
42.194.230.121	8849
42.194.230.121	3090
42.194.230.121	9527
42.194.230.121	60001
42.194.230.121	32400
42.194.230.121	1311
42.194.230.121	8140
42.194.230.121	3548
42.194.230.121	82
42.194.230.121	8888
42.194.230.121	2150
42.194.230.121	81
42.194.230.121	5900
42.194.230.121	5858
101.36.105.97	2560
101.36.105.97	7443
101.36.105.97	9943
101.36.105.97	8888
101.36.105.97	175
101.36.105.97	10000
101.36.105.97	9595
101.36.105.97	4443
101.36.105.97	9994
101.36.105.97	6668
101.36.105.97	8500
101.36.105.97	465
101.36.105.97	666
101.36.105.97	3460
101.36.105.97	143
101.36.105.97	55442
101.36.105.97	1200
101.36.105.97	52869
101.36.105.97	8009
101.36.105.97	110
101.36.105.97	789
101.36.105.97	447
101.36.105.97	1400
101.36.105.97	5800
101.36.105.97	3051
101.36.105.97	548
101.36.105.97	20000
101.36.105.97	5007
101.36.105.97	771
101.36.105.97	1741
101.36.105.97	3082
101.36.105.97	9001
101.36.105.97	8046
123.207.23.211	3299
123.207.23.211	17000
123.207.23.211	6590
123.207.23.211	9998
123.207.23.211	631
123.207.23.211	1023
123.207.23.211	4242
123.207.23.211	2375
123.207.23.211	1471
123.207.23.211	121
123.207.23.211	7171
123.207.23.211	9606
123.207.23.211	2761
123.207.23.211	8806
123.207.23.211	3106
123.207.23.211	1777
123.207.23.211	3523
123.207.23.211	1433
123.207.23.211	8080
123.207.23.211	3000
123.207.23.211	9035
123.207.23.211	5560
123.207.23.211	96
165.22.204.232	2375
106.52.115.145	3067
106.52.115.145	4782
106.52.115.145	3097
106.52.115.145	37777
106.52.115.145	9082
106.52.115.145	8001
106.52.115.145	104
106.52.115.145	636
106.52.115.145	60001
106.52.115.145	5800
106.52.115.145	8431
106.52.115.145	9001
106.52.115.145	5269
106.52.115.145	9443
106.52.115.145	2048
106.52.115.145	111
106.52.115.145	9999
106.52.115.145	21
106.52.115.145	52869
106.52.115.145	8000
106.52.115.145	3000
106.52.115.145	5555
106.52.115.145	2506
106.52.115.145	1024
42.194.226.30	14147
42.194.226.30	110
42.194.226.30	111
42.194.226.30	2345
42.194.226.30	6998
42.194.226.30	873
42.194.226.30	7779
42.194.226.30	1099
42.194.226.30	8848
42.194.226.30	1024
42.194.226.30	8018
42.194.226.30	5800
42.194.226.30	55443
42.194.226.30	771
42.194.226.30	805
42.194.226.30	50070
42.194.226.30	4043
42.194.226.30	87
42.194.226.30	8102
42.194.226.30	8800
42.194.226.30	221
42.194.226.30	2077
42.194.226.30	4040
42.194.226.30	4443
42.194.226.30	12345
134.73.55.10	49153
42.194.230.121	1471
42.194.230.121	6603
42.194.230.121	992
42.194.230.121	9029
42.194.230.121	2126
42.194.230.121	2345
42.194.230.121	3260
42.194.230.121	9051
42.194.230.121	3953
42.194.230.121	9003
42.194.230.121	2083
42.194.230.121	2086
42.194.230.121	8008
42.194.230.121	8800
42.194.230.121	3057
42.194.230.121	8447
42.194.230.121	8184
42.194.230.121	51106
52.213.219.192	1433
101.36.105.97	995
101.36.105.97	2376
101.36.105.97	777
101.36.105.97	119
101.36.105.97	7171
101.36.105.97	8767
101.36.105.97	8001
101.36.105.97	6697
101.36.105.97	4042
101.36.105.97	27015
101.36.105.97	16992
101.36.105.97	51106
101.36.105.97	448
101.36.105.97	8089
101.36.105.97	9051
123.207.23.211	3117
123.207.23.211	32764
123.207.23.211	1660
123.207.23.211	3950
123.207.23.211	1883
123.207.23.211	10000
123.207.23.211	3104
123.207.23.211	9308
123.207.23.211	28017
123.207.23.211	104
123.207.23.211	8181
123.207.23.211	443
123.207.23.211	2762
123.207.23.211	1025
123.207.23.211	8095
106.52.115.145	8840
106.52.115.145	4664
106.52.115.145	2222
106.52.115.145	9039
106.52.115.145	2376
106.52.115.145	16992
106.52.115.145	800
106.52.115.145	311
106.52.115.145	5000
106.52.115.145	8089
106.52.115.145	1110
106.52.115.145	2082
221.182.247.65	2087
106.75.45.110	50050
106.75.45.110	1962
106.75.45.110	2065
106.75.45.110	5222
106.75.45.110	502
106.75.45.110	2332
106.75.45.110	7171
221.182.245.77	4443
42.194.226.30	5985
42.194.226.30	2086
42.194.226.30	449
42.194.226.30	4848
42.194.226.30	10443
42.194.226.30	175
42.194.226.30	25105
42.194.226.30	2087
42.194.226.30	9037
42.194.226.30	2067
42.194.226.30	32400
106.75.71.81	2083
106.75.71.81	5901
106.75.71.81	8424
106.75.71.81	2000
106.75.71.81	6000
106.75.71.81	1554
106.75.71.81	6001
106.75.71.81	6664
106.75.71.81	4000
117.48.120.226	5985
117.48.120.226	102
117.48.120.226	2121
117.48.120.226	1234
117.48.120.226	195
117.48.120.226	44818
117.48.120.226	10443
117.50.22.73	37215
117.50.22.73	7010
117.50.22.73	9443
117.50.22.73	1741
117.50.22.73	20256
117.50.22.73	7444
117.50.22.73	8009
117.50.22.73	4063
117.50.22.73	9999
117.50.22.73	179
199.223.232.244	14265
42.194.230.121	10250
42.194.230.121	7071
42.194.230.121	8004
42.194.230.121	5986
42.194.230.121	4664
42.194.230.121	91
42.194.230.121	55553
42.194.230.121	18081
42.194.230.121	771
42.194.230.121	8282
42.194.230.121	8889
101.36.105.97	6007
101.36.105.97	10443
101.36.105.97	5560
101.36.105.97	9100
101.36.105.97	60129
101.36.105.97	902
101.36.105.97	1024
101.36.105.97	5025
101.36.105.97	5900
101.36.105.97	8086
106.75.76.83	8805
106.75.76.83	55553
106.75.76.83	3310
106.75.76.83	1010
106.75.76.83	2181
106.75.76.83	9000
106.75.76.83	3412
123.207.23.211	4369
123.207.23.211	1515
123.207.23.211	5907
123.207.23.211	2561
123.207.23.211	4782
123.207.23.211	9992
123.207.23.211	8800
123.207.23.211	9869
123.207.23.211	7071
123.207.23.211	49
123.207.23.211	3412
221.182.245.85	443
221.182.144.37	443
221.182.136.129	8083
106.52.115.145	548
106.52.115.145	8383
106.52.115.145	83
106.52.115.145	50050
106.52.115.145	49153
106.52.115.145	85
106.52.115.145	4200
106.52.115.145	3057
106.52.115.145	8861
221.182.136.133	16993
106.75.45.110	4000
106.75.45.110	4567
106.75.45.110	6000
106.75.45.110	3566
106.75.45.110	2404
